GROUP;SCOPE;PATH
grp_it_op;Global;OU=GROUPS,OU=IT,OU=Service
grp_it_dev;Global;OU=GROUPS,OU=IT,OU=Service
grp_rh;Global;OU=GROUPS,OU=RH,OU=Service
grp_rd;Global;OU=GROUPS,OU=RD,OU=Service
grp_comptabilite;Global;OU=GROUPS,OU=COMPTABILITE,OU=Service
grp_marketing;Global;OU=GROUPS,OU=MARKETING,OU=Service
grp_communication;Global;OU=GROUPS,OU=COMMUNICATION,OU=Service
grp_commercial;Global;OU=GROUPS,OU=COMMERCIAL,OU=Service
grp_achat;Global;OU=GROUPS,OU=ACHAT,OU=Service
grp_logistique;Global;OU=GROUPS,OU=LOGISTIQUE,OU=Service
grp_juridique;Global;OU=GROUPS,OU=JURIDIQUE,OU=Service
grp_dg;Global;OU=GROUPS,OU=DG,OU=Service
RBAC_SRVFL7501_ALL_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_IT_OP_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_IT_DEV_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_RH_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_RD_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_COMPTABILITE_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_MARKETING_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_COMMUNICATION_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_COMMERCIAL_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_ACHAT_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_LOGISTIQUE_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_JURIDIQUE_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_DG_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_DG_RWX;DomainLocal;OU=DROIT_MODIF,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_ALL_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_IT_OP_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_IT_DEV_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_RH_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_RD_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_COMPTABILITE_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_MARKETING_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_COMMUNICATION_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_COMMERCIAL_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_ACHAT_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_LOGISTIQUE_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_JURIDIQUE_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_DG_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
RBAC_SRVFL7501_DIR_DG_R-X;DomainLocal;OU=DROIT_LECTURE,OU=RBAC_DOSSIERS_PARTAGE
